epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,71.9851,0.73976,0.57876,1.10559,0.96111,1,0.99241,0.82473,0.77217,0.62005,1.19896,0.000487162,0.000487162,0.000487162
43,73.5988,0.73187,0.59595,1.156,0.96103,1,0.99389,0.82054,0.77146,0.63333,1.202,0.000490728,0.000490728,0.000490728
44,75.1702,0.76369,0.61747,1.1257,0.96103,1,0.99389,0.82054,0.77146,0.63333,1.202,0.000493898,0.000493898,0.000493898
45,76.7987,0.75851,0.60098,1.19785,0.96274,1,0.995,0.81682,0.76398,0.63597,1.20397,0.000496672,0.000496672,0.000496672
46,78.4118,0.71523,0.59637,1.22188,0.96274,1,0.995,0.81682,0.76398,0.63597,1.20397,0.00049905,0.00049905,0.00049905
47,80.1108,0.73875,0.59889,1.08991,0.96262,1,0.995,0.82993,0.73573,0.59583,1.17766,0.000501032,0.000501032,0.000501032
48,81.6878,0.78422,0.62719,1.27725,0.96262,1,0.995,0.82993,0.73573,0.59583,1.17766,0.000502618,0.000502618,0.000502618
49,83.3113,0.74086,0.5895,1.14753,0.99209,1,0.995,0.81831,0.76175,0.56286,1.15103,0.000503808,0.000503808,0.000503808
50,84.9193,0.77542,0.61402,1.06698,0.99209,1,0.995,0.81831,0.76175,0.56286,1.15103,0.000504602,0.000504602,0.000504602
51,86.6654,0.70031,0.56369,1.10619,0.98297,1,0.995,0.82749,0.79538,0.56357,1.15116,0.000505,0.000505,0.000505
52,88.2518,0.7242,0.55711,1.13656,0.98297,1,0.995,0.82749,0.79538,0.56357,1.15116,0.000505002,0.000505002,0.000505002
53,89.8648,0.65589,0.53685,1.1517,0.98297,1,0.995,0.82749,0.79538,0.56357,1.15116,0.000504608,0.000504608,0.000504608
54,91.4811,0.65374,0.55272,1.17312,0.9932,1,0.995,0.80755,0.822,0.5518,1.15568,0.000503818,0.000503818,0.000503818
55,93.095,0.74052,0.56603,1.22219,0.9932,1,0.995,0.80755,0.822,0.5518,1.15568,0.000502632,0.000502632,0.000502632
56,94.6978,0.70321,0.54589,1.2318,0.9932,1,0.995,0.80755,0.822,0.5518,1.15568,0.00050105,0.00050105,0.00050105
57,96.4216,0.67258,0.5689,1.16943,0.9909,1,0.995,0.80377,0.82596,0.54205,1.15207,0.000499072,0.000499072,0.000499072
58,98.1202,0.69821,0.51932,1.11571,0.9909,1,0.995,0.80377,0.82596,0.54205,1.15207,0.000496698,0.000496698,0.000496698
59,99.9036,0.7073,0.54226,1.13463,0.9909,1,0.995,0.80377,0.82596,0.54205,1.15207,0.000493928,0.000493928,0.000493928
60,101.439,0.70796,0.52182,1.12564,0.98732,1,0.995,0.81766,0.77079,0.534,1.15391,0.000490762,0.000490762,0.000490762
61,102.992,0.67484,0.51655,1.11628,0.98732,1,0.995,0.81766,0.77079,0.534,1.15391,0.0004872,0.0004872,0.0004872
62,104.53,0.61919,0.5377,1.18248,0.98732,1,0.995,0.81766,0.77079,0.534,1.15391,0.000483242,0.000483242,0.000483242
63,106.065,0.67843,0.51681,1.17352,0.98835,1,0.995,0.84339,0.70519,0.5231,1.1542,0.000478888,0.000478888,0.000478888
64,107.651,0.66798,0.52057,1.09097,0.98835,1,0.995,0.84339,0.70519,0.5231,1.1542,0.000474138,0.000474138,0.000474138
